Feature set 1;Feature set 2;Feature set 3;Feature set 4;Feature set 5
mfcc_sma_de.7._kurtosis;mfcc_sma_de.2._min;;;
mfcc_sma.9._max;mfcc_sma.9._linregerrA;;;
lspFreq_sma.7._range;mfcc_sma.11._min;;;
mfcc_sma_de.11._iqr2.3;pcm_intensity_sma_kurtosis;;;
mfcc_sma_de.4._linregerrQ;mfcc_sma.6._min;;;
lspFreq_sma_de.2._minPos;voiceProb_sma_iqr2.3;;;
mfcc_sma_de.3._skewness;voiceProb_sma_de_quartile2;;;
;pcm_intensity_sma_de_iqr1.2;;;
;mfcc_sma.5._linregerrA;;;
;voiceProb_sma_de_minPos;;;
;mfcc_sma.5._maxPos;;;
;lspFreq_sma_de.2._range;;;
;voiceProb_sma_de_amean;;;
;pcm_loudness_sma_linregc2;;;
;lspFreq_sma.3._linregerrQ;;;
;mfcc_sma.2._kurtosis;;;
;mfcc_sma.4._min;;;
;mfcc_sma_de.2._linregc2;;;
;lspFreq_sma_de.6._amean;;;
;lspFreq_sma.7._min;;;
;lspFreq_sma.6._linregerrA;;;
;mfcc_sma.10._skewness;;;
;lspFreq_sma_de.0._maxPos;;;
;mfcc_sma_de.10._iqr1.3;;;
;lspFreq_sma_de.0._amean;;;
;lspFreq_sma.6._iqr1.2;;;
;mfcc_sma.12._quartile3;;;
;pcm_loudness_sma_de_skewness;;;
;mfcc_sma.10._max;;;
;voiceProb_sma_min;;;
;mfcc_sma_de.1._max;;;
;mfcc_sma.9._linregc2;;;
;mfcc_sma.7._maxPos;;;
;mfcc_sma.6._quartile2;;;
;lspFreq_sma.2._min;;;
;lspFreq_sma_de.3._maxPos;;;
;mfcc_sma.7._iqr1.2;;;
;lspFreq_sma_de.0._iqr1.3;;;
;pcm_intensity_sma_minPos;;;
;mfcc_sma_de.11._iqr1.2;;;
;mfcc_sma_de.7._maxPos;;;
;lspFreq_sma.2._minPos;;;
;mfcc_sma.2._linregc1;;;
;F0_sma_iqr2.3;;;
;mfcc_sma_de.6._minPos;;;
;lspFreq_sma_de.4._max;;;
;lspFreq_sma.1._minPos;;;
;lspFreq_sma.2._skewness;;;
;lspFreq_sma_de.7._stddev;;;
;mfcc_sma_de.7._kurtosis;;;
;lspFreq_sma.7._max;;;
;lspFreq_sma_de.1._skewness;;;
;pcm_loudness_sma_de_iqr1.2;;;
;lspFreq_sma_de.3._min;;;
